"","Year","Month","Date","City","Temperature"
"1","1967","DEC",1967-12-01,"Bogota",12.8
"2","1968","JAN",1968-01-01,"Bogota",12.2
"3","1968","FEB",1968-02-01,"Bogota",12.9
"4","1968","MAR",1968-03-01,"Bogota",13.3
"5","1968","APR",1968-04-01,"Bogota",13.7
"6","1968","MAY",1968-05-01,"Bogota",13.3
"7","1968","JUN",1968-06-01,"Bogota",13.1
"8","1968","JUL",1968-07-01,"Bogota",13.4
"9","1968","AUG",1968-08-01,"Bogota",13.1
"10","1968","SEP",1968-09-01,"Bogota",13.3
"11","1968","OCT",1968-10-01,"Bogota",12.9
"12","1968","NOV",1968-11-01,"Bogota",13.2
"13","1968","DEC",1968-12-01,"Bogota",12.2
"14","1969","JAN",1969-01-01,"Bogota",12.8
"15","1969","FEB",1969-02-01,"Bogota",13.8
"16","1969","MAR",1969-03-01,"Bogota",13.6
"17","1970","FEB",1970-02-01,"Bogota",13.9
"18","1970","MAR",1970-03-01,"Bogota",13.8
"19","1970","APR",1970-04-01,"Bogota",14.2
"20","1970","MAY",1970-05-01,"Bogota",14
"21","1970","JUN",1970-06-01,"Bogota",13.5
"22","1970","JUL",1970-07-01,"Bogota",13
"23","1970","AUG",1970-08-01,"Bogota",13
"24","1970","SEP",1970-09-01,"Bogota",12.8
"25","1970","OCT",1970-10-01,"Bogota",13.1
"26","1970","NOV",1970-11-01,"Bogota",12.8
"27","1970","DEC",1970-12-01,"Bogota",12.6
"28","1971","JAN",1971-01-01,"Bogota",12.8
"29","1971","FEB",1971-02-01,"Bogota",12.5
"30","1971","MAR",1971-03-01,"Bogota",13.3
"31","1971","APR",1971-04-01,"Bogota",13.2
"32","1971","MAY",1971-05-01,"Bogota",13.4
"33","1971","JUN",1971-06-01,"Bogota",13
"34","1971","JUL",1971-07-01,"Bogota",13.2
"35","1971","AUG",1971-08-01,"Bogota",12.5
"36","1971","SEP",1971-09-01,"Bogota",12.5
"37","1971","OCT",1971-10-01,"Bogota",12.9
"38","1971","NOV",1971-11-01,"Bogota",12.7
"39","1971","DEC",1971-12-01,"Bogota",12.5
"40","1972","JAN",1972-01-01,"Bogota",12.9
"41","1972","FEB",1972-02-01,"Bogota",12.6
"42","1972","MAR",1972-03-01,"Bogota",13.5
"43","1972","APR",1972-04-01,"Bogota",13.3
"44","1972","MAY",1972-05-01,"Bogota",14.2
"45","1972","JUN",1972-06-01,"Bogota",13.7
"46","1972","JUL",1972-07-01,"Bogota",13.6
"47","1972","AUG",1972-08-01,"Bogota",13.2
"48","1972","SEP",1972-09-01,"Bogota",13.5
"49","1972","OCT",1972-10-01,"Bogota",13.3
"50","1972","NOV",1972-11-01,"Bogota",13.7
"51","1972","DEC",1972-12-01,"Bogota",13.3
"52","1973","JAN",1973-01-01,"Bogota",13.6
"53","1973","FEB",1973-02-01,"Bogota",13.3
"54","1973","MAR",1973-03-01,"Bogota",14.3
"55","1973","APR",1973-04-01,"Bogota",13.7
"56","1973","MAY",1973-05-01,"Bogota",13.7
"57","1973","JUN",1973-06-01,"Bogota",13.3
"58","1973","JUL",1973-07-01,"Bogota",12.9
"59","1973","AUG",1973-08-01,"Bogota",13
"60","1973","SEP",1973-09-01,"Bogota",12.7
"61","1973","OCT",1973-10-01,"Bogota",12.9
"62","1973","NOV",1973-11-01,"Bogota",13.2
"63","1973","DEC",1973-12-01,"Bogota",12.5
"64","1974","JAN",1974-01-01,"Bogota",12.2
"65","1974","FEB",1974-02-01,"Bogota",12.9
"66","1974","MAR",1974-03-01,"Bogota",13
"67","1974","APR",1974-04-01,"Bogota",13.6
"68","1974","MAY",1974-05-01,"Bogota",13.1
"69","1974","JUN",1974-06-01,"Bogota",13.1
"70","1974","JUL",1974-07-01,"Bogota",12.6
"71","1974","AUG",1974-08-01,"Bogota",13.1
"72","1974","SEP",1974-09-01,"Bogota",12.5
"73","1974","OCT",1974-10-01,"Bogota",12.6
"74","1974","NOV",1974-11-01,"Bogota",13.3
"75","1974","DEC",1974-12-01,"Bogota",12
"76","1975","JAN",1975-01-01,"Bogota",12.3
"77","1975","FEB",1975-02-01,"Bogota",12.8
"78","1975","MAR",1975-03-01,"Bogota",13
"79","1975","APR",1975-04-01,"Bogota",13.3
"80","1975","MAY",1975-05-01,"Bogota",13.2
"81","1975","JUN",1975-06-01,"Bogota",13.1
"82","1975","JUL",1975-07-01,"Bogota",12.4
"83","1975","AUG",1975-08-01,"Bogota",12.5
"84","1975","SEP",1975-09-01,"Bogota",12.6
"85","1975","OCT",1975-10-01,"Bogota",12.4
"86","1975","NOV",1975-11-01,"Bogota",12.9
"87","1975","DEC",1975-12-01,"Bogota",12.3
"88","1976","JAN",1976-01-01,"Bogota",12.2
"89","1976","FEB",1976-02-01,"Bogota",12.4
"90","1976","MAR",1976-03-01,"Bogota",13.2
"91","1979","NOV",1979-11-01,"Bogota",14
"92","1979","DEC",1979-12-01,"Bogota",13.2
"93","1980","JAN",1980-01-01,"Bogota",13.4
"94","1980","FEB",1980-02-01,"Bogota",13.2
"95","1980","MAR",1980-03-01,"Bogota",14.2
"96","1980","APR",1980-04-01,"Bogota",14.1
"97","1980","MAY",1980-05-01,"Bogota",14.1
"98","1980","JUN",1980-06-01,"Bogota",13.8
"99","1980","JUL",1980-07-01,"Bogota",13.6
"100","1980","AUG",1980-08-01,"Bogota",12.7
"101","1980","SEP",1980-09-01,"Bogota",13.7
